order_id,date,customer_id,product,price,quantity,coupon_code,shipping_city
ORD-10114,2025-02-05,C0105,1080p Webcam,59.99,2,,Chicago
ORD-10115,2025-02-05,C0072,Noise-Cancelling Headphones,199.99,,WELCOME5,Los Angeles
ORD-10116,2025-02-06,C0132,27in Monitor,249.99,3,,Portland
ORD-10117,2025-02-06,,Laptop Stand,34.99,1,FREESHIP,Denver
ORD-10118,2025-02-06,C0150,Wireless Mouse,24.99,3,,Chicago
ORD-10119,2025-02-06,C0115,USB-C Hub,39.99,1,,Chicago
ORD-10120,2025-02-07,C0118,1080p Webcam,59.99,3,SAVE15,New York
ORD-10121,2025-02-08,C0043,LED Desk Lamp,29.99,1,,Miami
ORD-10122,2025-02-08,C0003,Laptop Stand,34.99,2,,New York
ORD-10123,2025-02-09,C0066,Noise-Cancelling Headphones,199.99,1,FREESHIP,Chicago
ORD-10124,2025-02-10,C0073,Laptop Stand,34.99,2,,Dallas
ORD-10125,2025-02-10,C0109,LED Desk Lamp,29.99,1,,Portland
ORD-10126,2025-02-10,C0061,Wireless Mouse,24.99,1,FREESHIP,Chicago
ORD-10127,2025-02-10,C0036,LED Desk Lamp,29.99,1,,Los Angeles
ORD-10128,2025-02-10,C0106,Mechanical Keyboard,89.99,1,,Los Angeles
ORD-10129,02/10/2025,C0074,Wireless Mouse,24.99,2,WELCOME5,Los Angeles
ORD-10130,2025-02-10,C0101,LED Desk Lamp,29.99,1,,Austin
ORD-10131,2025-02-11,C0039,USB-C Hub,39.99,1,,Seattle
ORD-10132,2025-02-11,C0103,Wireless Mouse,24.99,4,,New York
ORD-10133,2025-02-11,C0033,1080p Webcam,59.99,2,,Chicago
ORD-10134,02/11/2025,C0131,USB-C Hub,39.99,2,SAVE10,Philadelphia
ORD-10135,2025-02-12,C0072,Laptop Stand,34.99,1,,New York
ORD-10136,02/12/2025,C0056,1080p Webcam,59.99,1,SAVE15,Chicago
ORD-10137,02/12/2025,C0124,27in Monitor,$249.99,1,SAVE20,New York
ORD-10138,2025-02-13,C0107,1080p Webcam,$59.99,2,,Austin
ORD-10139,2025-02-14,C0036,1080p Webcam,59.99,3,,Austin
ORD-10140,2025-02-14,C0095,27in Monitor,$249.99,1,,Phoenix
ORD-10141,2025-02-15,C0049,Wireless Mouse,24.99,1,SAVE15,Los Angeles
ORD-10142,2025-02-16,C0048,Laptop Stand,34.99,1,N/A,Chicago
ORD-10143,2025-02-16,C0071,27in Monitor,249.99,4,WELCOME5,Philadelphia
ORD-10144,2025-02-16,C0049,Mechanical Keyboard,89.99,2,,Denver
ORD-10145,2025-02-16,C0061,LED Desk Lamp,29.99,1,,Austin
ORD-10146,2025-02-16,C0028,Mechanical Keyboard,89.99,1,,New York
ORD-10147,2025-02-16,C0077,USB-C Hub,39.99,2,,Atlanta
ORD-10148,2025-02-16,C0025,Laptop Stand,34.99,1,,Boston
ORD-10149,2025-02-16,C0128,Wireless Mouse,24.99,1,,Seattle
ORD-10150,2025-02-18,C0126,Wireless Mouse,24.99,2,,Atlanta
ORD-10151,2025-02-18,C0052,USB-C Hub,39.99,,,Seattle
ORD-10152,2025-02-18,C0101,USB-C Hub,39.99,1,,Portland
ORD-10153,2025-02-18,C0096,USB-C Hub,39.99,1,,Seattle
ORD-10154,2025-02-19,C0126,USB-C Hub,39.99,2,,Houston
ORD-10155,2025-02-19,C0002,Laptop Stand,34.99,1,SAVE20,Atlanta
ORD-10156,2025-02-19,C0099,27in Monitor,249.99,1,,Atlanta
ORD-10157,2025-02-19,C0120,LED Desk Lamp,29.99,1,save10,  Los Angeles
ORD-10158,2025-02-19,C0046,LED Desk Lamp,29.99,,,BOSTON
ORD-10159,2025-02-20,C0086,Wireless Mouse,24.99,1,,Phoenix
ORD-10160,02/20/2025,C0006,Wireless Mouse,24.99,2,Welcome5,Boston
ORD-10161,2025-02-20,C0133,Noise-Cancelling Headphones,199.99,1,FREESHIP,New York
ORD-10162,2025-02-21,C0021,Wireless Mouse,24.99,1,,Seattle
ORD-10163,2025-02-21,C0101,Wireless Mouse,24.99,1,SAVE20,Chicago
ORD-10164,2025-02-22,C0010,USB-C Hub,39.99,3,SAVE10,Seattle
ORD-10165,2025-02-22,C0098,LED Desk Lamp,$29.99,1,SAVE15,Los Angeles
ORD-10166,2025-02-22,C0076,1080p Webcam,59.99,2,,New York
ORD-10167,2025-02-23,C0060,Laptop Stand,34.99,2,,Denver
ORD-10168,2025-02-23,C0065,Wireless Mouse,24.99,1,,  Los Angeles
ORD-10169,2025-02-23,C0006,1080p Webcam,59.99,2,,Los Angeles
ORD-10170,2025-02-24,C0148,Mechanical Keyboard,89.99,1,SAVE10,San Diego
ORD-10171,2025-02-24,C0074,Mechanical Keyboard,89.99,1,SAVE10,Austin
ORD-10172,2025-02-24,C0128,27in Monitor,249.99,2,,Austin
ORD-10173,2025-02-24,C0002,Wireless Mouse,24.99,1,,Los Angeles
ORD-10174,2025-02-24,C0078,USB-C Hub,39.99,1,,Los Angeles
ORD-10174,2025-02-24,C0078,USB-C Hub,39.99,1,,Los Angeles
ORD-10175,2025-02-25,C0005,Mechanical Keyboard,89.99,1,,Dallas
ORD-10176,2025-02-25,C0082,Noise-Cancelling Headphones,199.99,1,,Boston
ORD-10177,2025-02-26,C0150,Wireless Mouse,24.99,1,,Los Angeles
ORD-10178,2025-02-26,C0114,Mechanical Keyboard,89.99,1,save15,Chicago
ORD-10179,2025-02-26,C0019,LED Desk Lamp,29.99,2,SAVE15,Seattle
ORD-10180,2025-02-27,C0031,1080p Webcam,59.99,3,SAVE20,Phoenix
ORD-10181,2025-02-27,C0096,Mechanical Keyboard,89.99,1,,Los Angeles
ORD-10182,2025-02-27,C0072,LED Desk Lamp,29.99,1,none,San Diego
ORD-10183,2025-02-27,C0091,Mechanical Keyboard,89.99,1,WELCOME5,Phoenix
ORD-10184,2025-02-27,C0085,Laptop Stand,34.99,1,SAVE15,Los Angeles
ORD-10185,2025-02-28,C0133,27in Monitor,249.99,3,,Los Angeles
ORD-10186,2025-02-28,C0005,1080p Webcam,59.99,1,,Austin
ORD-10187,02/28/2025,C0056,USB-C Hub,39.99,1,,Phoenix
ORD-10188,2025-03-01,C0070,Laptop Stand,$34.99,5,WELCOME5,Los Angeles
ORD-10189,2025-03-01,C0101,Wireless Mouse,24.99,1,WELCOME5,LOS ANGELES
ORD-10190,2025-03-02,C0049,Wireless Mouse,24.99,1,,Philadelphia
ORD-10191,2025-03-02,C0077,Mechanical Keyboard,89.99,3,,Los Angeles
ORD-10191,2025-03-02,C0077,Mechanical Keyboard,89.99,3,,Los Angeles
ORD-10192,2025-03-02,C0107,Laptop Stand,34.99,1,,Austin
ORD-10193,2025-03-02,C0077,Mechanical Keyboard,89.99,1,,Dallas
ORD-10193,2025-03-02,C0077,Mechanical Keyboard,89.99,1,,Dallas
ORD-10194,2025-03-02,C0150,Mechanical Keyboard,89.99,2,SAVE15,CHICAGO
ORD-10195,2025-03-05,C0010,27in Monitor,249.99,1,none,New York
ORD-10196,2025-03-05,C0138,LED Desk Lamp,29.99,1,SAVE15,Chicago
ORD-10197,2025-03-06,C0112,LED Desk Lamp,29.99,2,SAVE10,Seattle
ORD-10198,2025-03-07,C0038,Mechanical Keyboard,89.99,3,SAVE15,Miami
ORD-10199,2025-03-07,C0139,27in Monitor,249.99,1,SAVE20,Miami
ORD-10200,2025-03-08,C0047,Noise-Cancelling Headphones,199.99,1,WELCOME5,Los Angeles
ORD-10201,2025-03-08,C0142,Laptop Stand,34.99,1,,Los Angeles
ORD-10202,03/09/2025,C0084,1080p Webcam,59.99,2,,Austin
ORD-10203,2025-03-09,C0147,1080p Webcam,59.99,2,SAVE10,Chicago
ORD-10204,2025-03-09,C0138,LED Desk Lamp,29.99,1,,Houston
ORD-10205,2025-03-10,C0097,Wireless Mouse,24.99,1,,New York
ORD-10206,2025-03-10,C0137,USB-C Hub,39.99,1,,New York
ORD-10207,2025-03-10,C0119,Laptop Stand,34.99,2,,  Atlanta
ORD-10208,2025-03-10,C0103,Mechanical Keyboard,89.99,5,,Austin
ORD-10209,2025-03-10,C0055,27in Monitor,$249.99,2,FREESHIP,New York
ORD-10210,2025-03-11,C0130,Wireless Mouse,24.99,3,,Philadelphia
ORD-10211,2025-03-12,C0038,Noise-Cancelling Headphones,199.99,1,WELCOME5,San Diego
ORD-10212,2025-03-12,C0144,Wireless Mouse,24.99,2,SAVE10,Phoenix
ORD-10213,2025-03-14,C0098,Noise-Cancelling Headphones,199.99,5,SAVE15,Atlanta
ORD-10214,2025-03-14,C0041,USB-C Hub,39.99,2,NULL,Phoenix
ORD-10215,2025-03-14,C0087,1080p Webcam,59.99,2,,Dallas
ORD-10216,2025-03-14,C0023,Laptop Stand,34.99,1,,portland
ORD-10217,2025-03-15,C0039,USB-C Hub,39.99,2,FREESHIP,Houston
ORD-10218,2025-03-16,C0105,Wireless Mouse,24.99,2,,  Dallas
ORD-10219,2025-03-16,C0063,USB-C Hub,39.99,1,,Los Angeles
ORD-10220,03/16/2025,C0129,27in Monitor,249.99,2,,Boston
ORD-10221,2025-03-16,C0132,27in Monitor,249.99,1,,Phoenix
ORD-10222,2025-03-17,C0048,Mechanical Keyboard,89.99,1,,Atlanta
ORD-10223,03/17/2025,C0011,27in Monitor,$249.99,1,,Austin
ORD-10224,2025-03-17,C0129,Laptop Stand,-34.99,,,Houston
ORD-10225,2025-03-17,C0018,Noise-Cancelling Headphones,199.99,1,,Philadelphia
ORD-10226,2025-03-18,C0027,USB-C Hub,39.99,2,,Seattle
ORD-10227,2025-03-18,C0137,USB-C Hub,39.99,1,,Denver
ORD-10228,2025-03-18,C0147,Noise-Cancelling Headphones,199.99,1,SAVE10,San Diego
ORD-10229,2025-03-18,C0142,LED Desk Lamp,29.99,4,SAVE20 ,Philadelphia
ORD-10230,2025-03-18,C0014,Noise-Cancelling Headphones,199.99,3,FREESHIP,Portland
ORD-10231,2025-03-18,C0007,LED Desk Lamp,29.99,1,,phoenix
ORD-10232,2025-03-18,C0114,Laptop Stand,34.99,2,SAVE10,Los Angeles
ORD-10233,2025-03-19,C0105,Mechanical Keyboard,89.99,3,FREESHIP,Houston
ORD-10234,2025-03-19,C0126,Noise-Cancelling Headphones,$199.99,1,,Seattle
ORD-10235,2025-03-20,C0076,Mechanical Keyboard,89.99,3,SAVE20,Miami
ORD-10236,2025-03-20,C0099,1080p Webcam,59.99,2,FREESHIP,New York
ORD-10237,03/21/2025,C0059,Wireless Mouse,24.99,1,,Portland
ORD-10238,2025-03-22,C0112,27in Monitor,249.99,1,,New York
ORD-10239,2025-03-23,C0023,Noise-Cancelling Headphones,199.99,2,WELCOME5,Boston 
ORD-10240,2025-03-23,C0142,LED Desk Lamp,29.99,1,,Los Angeles
ORD-10241,2025-03-23,C0107,27in Monitor,249.99,2,SAVE10,Austin
ORD-10242,2025-03-23,C0019,Wireless Mouse,24.99,2,FREESHIP,Phoenix
ORD-10243,2025-03-24,C0019,Noise-Cancelling Headphones,199.99,1,,Philadelphia
ORD-10244,2025-03-24,,USB-C Hub,$39.99,4,SAVE10,Philadelphia
ORD-10245,2025-03-24,C0112,Wireless Mouse,24.99,1,FREESHIP,Austin
ORD-10246,03/26/2025,C0001,USB-C Hub,39.99,1,,NEW YORK
ORD-10247,2025-03-26,C0080,LED Desk Lamp,-29.99,3,SAVE15,Portland 
ORD-10248,2025-03-27,C0066,Laptop Stand,34.99,2,,Los Angeles
ORD-10249,2025-03-27,C0115,27in Monitor,249.99,2,SAVE10,Philadelphia
ORD-10250,2025-03-27,C0146,Laptop Stand,34.99,1,,Seattle
ORD-10251,2025-03-27,C0124,Wireless Mouse,24.99,1,,Phoenix
ORD-10252,2025-03-27,C0072,Laptop Stand,34.99,1,SAVE10,Miami
ORD-10253,2025-03-28,C0062,Wireless Mouse,24.99,1,FREESHIP,San Diego
ORD-10253,2025-03-28,C0062,Wireless Mouse,24.99,1,FREESHIP,San Diego
ORD-10254,2025-03-28,C0111,Wireless Mouse,24.99,2,SAVE20 ,Houston 
ORD-10255,2025-03-28,C0002,1080p Webcam,59.99,2,SAVE10,  Los Angeles
ORD-10256,2025-03-28,C0124,Noise-Cancelling Headphones,199.99,3,,  Austin
ORD-10257,2025-03-29,,LED Desk Lamp,29.99,1,,Atlanta
ORD-10258,2025-03-29,C0042,Wireless Mouse,24.99,1,NULL,Los Angeles
ORD-10259,2025-03-30,C0039,Noise-Cancelling Headphones,199.99,1,,Los Angeles
ORD-10260,2025-03-31,C0102,Wireless Mouse,24.99,1,FREESHIP,Dallas
ORD-10261,2025-03-31,C0142,27in Monitor,249.99,1,,Boston
ORD-10262,2025-03-31,C0117,1080p Webcam,59.99,3,,New York
ORD-10263,2025-03-31,C0082,1080p Webcam,59.99,1,SAVE20,Atlanta
ORD-10264,2025-03-31,C0059,Mechanical Keyboard,89.99,1,FREESHIP,Chicago 
ORD-10265,2025-03-31,C0149,27in Monitor,249.99,3,,Boston
ORD-10266,2025-03-31,C0022,Laptop Stand,34.99,2,,Chicago
ORD-10266,2025-03-31,C0022,Laptop Stand,34.99,2,,Chicago
ORD-10267,2025-03-31,C0138,Laptop Stand,34.99,1,,Los Angeles
ORD-10268,2025-04-01,C0070,Laptop Stand,34.99,2,,Miami
ORD-10269,2025-04-01,C0050,1080p Webcam,59.99,1,SAVE10 ,New York
ORD-10270,2025-04-01,C0011,Laptop Stand,34.99,1,SAVE20,Phoenix
ORD-10271,2025-04-03,C0095,Mechanical Keyboard,89.99,5,,Los Angeles
ORD-10272,2025-04-03,C0123,Mechanical Keyboard,89.99,2,,Atlanta
ORD-10273,2025-04-04,C0051,Wireless Mouse,24.99,2,SAVE10,San Diego
ORD-10274,2025-04-05,C0030,Noise-Cancelling Headphones,199.99,1,SAVE10 ,Chicago
ORD-10275,2025-04-05,C0077,Noise-Cancelling Headphones,199.99,1,,Dallas
ORD-10276,04/05/2025,C0046,Laptop Stand,34.99,1,SAVE10,Phoenix
ORD-10277,2025-04-05,C0034,Mechanical Keyboard,89.99,1,SAVE10,Austin
ORD-10278,2025-04-06,C0127,Laptop Stand,34.99,3,,Dallas
ORD-10279,2025-04-06,C0068,27in Monitor,249.99,1,,Miami
ORD-10280,2025-04-06,C0092,LED Desk Lamp,29.99,1,,Atlanta
ORD-10281,04/06/2025,C0070,Mechanical Keyboard,89.99,2,freeship,Los Angeles
ORD-10282,2025-04-06,C0124,Laptop Stand,34.99,1,SAVE10,New York
ORD-10283,2025-04-06,C0080,Mechanical Keyboard,89.99,2,,Portland
ORD-10284,2025-04-07,C0149,Mechanical Keyboard,89.99,1,SAVE15,HOUSTON
ORD-10285,04/07/2025,C0098,1080p Webcam,59.99,1,,Miami
ORD-10286,2025-04-07,C0124,1080p Webcam,-59.99,1,,Chicago
ORD-10287,2025-04-08,C0115,USB-C Hub,39.99,4, SAVE10,Los Angeles
ORD-10288,2025-04-08,C0036,Mechanical Keyboard,89.99,2,SAVE15,Philadelphia
ORD-10289,2025-04-08,C0078,Laptop Stand,34.99,2,,Austin
ORD-10290,2025-04-09,C0023,27in Monitor,249.99,2,SAVE20,Atlanta
ORD-10291,04/09/2025,C0060,27in Monitor,249.99,1,SAVE15,Chicago
ORD-10292,2025-04-09,C0064,27in Monitor,249.99,2,WELCOME5,Boston
ORD-10293,2025-04-09,C0066,27in Monitor,249.99,1,,New York 
ORD-10294,2025-04-10,C0026,27in Monitor,249.99,4,,Portland
ORD-10295,2025-04-11,C0093,Noise-Cancelling Headphones,199.99,3,,Boston
ORD-10296,2025-04-11,C0015,27in Monitor,249.99,1,WELCOME5,Boston
ORD-10297,2025-04-11,C0075,1080p Webcam,59.99,2,,dallas
ORD-10298,2025-04-11,C0095,Wireless Mouse,24.99,1,,Austin
ORD-10299,2025-04-11,C0061,Noise-Cancelling Headphones,199.99,3,WELCOME5,Boston
ORD-10299,2025-04-11,C0061,Noise-Cancelling Headphones,199.99,3,WELCOME5,Boston
ORD-10300,2025-04-11,C0136,Laptop Stand,34.99,2,,Los Angeles
ORD-10301,2025-04-12,C0118,LED Desk Lamp,29.99,1,,Dallas
ORD-10302,2025-04-13,C0045,LED Desk Lamp,29.99,1,SAVE15,Houston
ORD-10303,04/13/2025,C0127,USB-C Hub,$39.99,1,WELCOME5,New York
ORD-10304,2025-04-14,C0072,Laptop Stand,34.99,2,FREESHIP,Phoenix
ORD-10305,2025-04-14,C0138,USB-C Hub,39.99,4,freeship,Philadelphia
ORD-10306,2025-04-14,C0113,Wireless Mouse,24.99,2,,  Dallas
ORD-10307,2025-04-14,C0037,Wireless Mouse,24.99,3,FREESHIP,Los Angeles
ORD-10308,2025-04-16,C0128,USB-C Hub,39.99,3,,Dallas
ORD-10309,2025-04-16,C0012,1080p Webcam,59.99,2,,Portland
ORD-10310,2025-04-16,C0083,Noise-Cancelling Headphones,199.99,1,,Houston
ORD-10311,2025-04-16,C0103,Wireless Mouse,24.99,1,FREESHIP,Seattle
ORD-10312,2025-04-17,C0117,Laptop Stand,34.99,3,SAVE10,Chicago
ORD-10313,2025-04-17,C0013,Noise-Cancelling Headphones,199.99,3,SAVE20,Denver
ORD-10314,2025-04-17,C0126,Noise-Cancelling Headphones,199.99,2,,San Diego
ORD-10315,2025-04-18,C0006,Noise-Cancelling Headphones,199.99,2,,SEATTLE
ORD-10316,2025-04-18,C0014,Wireless Mouse,24.99,1,FREESHIP,Boston
ORD-10317,2025-04-18,C0097,USB-C Hub,39.99,2,welcome5,Chicago
ORD-10318,2025-04-19,C0105,27in Monitor,249.99,1,,Phoenix
ORD-10319,2025-04-19,C0110,Mechanical Keyboard,89.99,1,SAVE10,Austin
ORD-10320,2025-04-20,,1080p Webcam,59.99,1,,San Diego
ORD-10321,2025-04-20,C0026,1080p Webcam,59.99,1,,Seattle
ORD-10322,2025-04-20,C0019,1080p Webcam,59.99,4,,Dallas
ORD-10323,2025-04-21,C0086,27in Monitor,249.99,3,SAVE10,Boston
ORD-10324,2025-04-21,C0007,Wireless Mouse,24.99,2,none,Seattle
ORD-10325,2025-04-21,C0145,Laptop Stand,34.99,1,,Austin 
ORD-10326,04/22/2025,C0111,1080p Webcam,59.99,1,,Austin
